STIMEU,DUR,LAT,LON,ALT,ATYPE,SVE,AYEAR,AMONTH,ADAY
2000.0,0,0,308,35784,UNK,0.0,1990,9,11
838.0,0,0,195,35784,UNK,0.0,1992,4,15
1408.0,0,5,168,54810,UNK,0.0,1987,10,27
1915.0,0,0,104,35784,PC,0.0,1978,10,4
338.0,0,0,104,35784,PC,0.0,1974,6,15
2138.0,0,0,104,35784,PC,0.0,1974,7,28
157.0,0,0,114,35784,PC,0.0,1977,7,24
124.0,0,0,114,35784,PC,0.0,1983,2,21
1838.0,0,0,118,35784,PC,0.0,1983,4,13
1101.0,0,0,114,35784,PC,0.0,1983,9,14
1013.0,0,0,114,35784,PC,0.0,1984,4,13
423.0,0,0,114,35784,PC,0.0,1984,8,19
1243.0,0,0,114,35784,PC,0.0,1984,9,1
737.0,0,0,109,35784,PC,0.0,1979,9,7
1530.0,0,0,110,35784,PF,0.0,1985,11,14
59.0,0,0,108,35784,PC,0.0,1986,2,2
1829.0,0,0,108,35784,PF,0.0,1987,10,23
1501.0,0,0,108,35784,PF,0.0,1987,11,5
2000.0,0,0,108,35784,PF,0.0,1987,12,21
0.0,0,0,107,35784,UNK,0.0,1988,9,21
100.0,0,0,105,35784,PF,0.0,1984,8,12
852.0,0,0,105,35784,PC,0.0,1984,9,30
747.0,0,0,105,35784,PC,0.0,1984,12,7
123.0,0,0,105,35784,UNK,0.0,1984,12,8
1453.0,0,0,105,35784,PC,0.0,1984,12,19
1528.0,0,0,105,35784,PC,0.0,1984,12,20
946.0,0,0,105,35784,PC,0.0,1985,1,20
1637.0,0,0,105,35784,PC,0.0,1985,3,8
0.0,0,0,105,35784,PF,0.0,1985,3,30
1157.0,0,0,110,35784,PC,0.0,1985,10,21
2143.0,0,0,110,35784,PF,0.0,1985,11,17
10.0,0,0,110,35784,PC,0.0,1986,1,30
1608.0,0,0,110,35784,UNK,0.0,1986,2,21
1618.0,0,0,110,35784,PC,0.0,1986,2,24
738.0,0,0,110,35784,PC,0.0,1986,3,5
1654.0,0,0,110,35784,UNK,0.0,1986,4,2
1146.0,0,0,110,35784,UNK,0.0,1986,4,13
430.0,0,0,110,35784,PC,0.0,1987,9,4
6.0,0,0,110,35784,UNK,0.0,1987,9,9
1646.0,0,0,110,35784,UNK,0.0,1987,10,15
958.0,0,0,110,35784,PC,0.0,1988,6,7
2102.0,0,0,110,35784,PC,0.0,1989,1,22
1240.0,0,0,110,35784,PC,0.0,1989,4,17
1502.0,0,0,110,35784,PC,0.0,1989,4,19
508.0,0,0,118,35784,PC,0.0,1983,4,9
229.0,0,0,118,35784,PC,0.0,1983,5,6
512.0,0,0,118,35784,PC,0.0,1983,6,16
1037.0,0,0,118,35784,PC,0.0,1983,7,28
1002.0,0,0,118,35784,PC,0.0,1983,10,11
1254.0,0,0,118,35784,PC,0.0,1983,10,19
921.0,0,0,118,35784,PC,0.0,1983,10,25
732.0,0,0,118,35784,PC,0.0,1983,10,31
600.0,0,0,118,35784,PC,0.0,1983,11,3
1737.0,0,0,118,35784,PC,0.0,1983,11,10
2300.0,0,0,118,35784,PC,0.0,1983,12,9
2238.0,0,0,118,35784,PC,0.0,1983,12,12
2247.0,0,0,118,35784,PC,0.0,1983,12,13
736.0,0,0,118,35784,PC,0.0,1983,12,26
516.0,0,0,118,35784,PC,0.0,1984,3,2
39.0,0,0,118,35784,PC,0.0,1984,3,3
1855.0,0,0,118,35784,PC,0.0,1984,3,3
751.0,0,0,118,35784,PC,0.0,1984,3,7
1419.0,0,0,118,35784,PC,0.0,1984,3,23
2039.0,0,0,118,35784,PC,0.0,1984,3,29
429.0,0,0,118,35784,PC,0.0,1984,3,31
6.0,0,0,118,35784,PC,0.0,1984,4,2
1955.0,0,0,118,35784,PC,0.0,1984,4,3
520.0,0,0,118,35784,PC,0.0,1984,4,28
533.0,0,0,118,35784,PC,0.0,1984,4,29
309.0,0,0,118,35784,PC,0.0,1984,5,23
325.0,0,0,118,35784,PF,0.0,1984,6,5
418.0,0,0,118,35784,PC,0.0,1984,6,18
515.0,0,0,118,35784,PC,0.0,1984,7,15
550.0,0,0,118,35784,PC,0.0,1984,7,17
2103.0,0,0,118,35784,PC,0.0,1984,8,5
812.0,0,0,118,35784,PC,0.0,1984,9,11
812.0,0,0,118,35784,PC,0.0,1984,9,24
2300.0,0,0,118,35784,PC,0.0,1984,9,24
554.0,0,0,118,35784,PC,0.0,1984,9,27
2120.0,0,0,118,35784,PC,0.0,1984,10,7
2052.0,0,0,118,35784,PC,0.0,1984,10,9
1500.0,0,0,118,35784,PC,0.0,1984,10,10
9.0,0,0,118,35784,PC,0.0,1984,10,11
305.0,0,0,118,35784,PC,0.0,1984,10,12
1258.0,0,0,118,35784,PC,0.0,1984,10,13
604.0,0,0,118,35784,PF,0.0,1984,10,14
104.0,0,0,118,35784,PC,0.0,1984,10,17
1154.0,0,0,118,35784,PC,0.0,1984,10,22
632.0,0,0,118,35784,PC,0.0,1984,10,23
1257.0,0,0,118,35784,PC,0.0,1984,10,24
1910.0,0,0,118,35784,PC,0.0,1984,10,24
1906.0,0,0,118,35784,PC,0.0,1984,10,25
1845.0,0,0,118,35784,PC,0.0,1984,11,2
109.0,0,0,118,35784,PC,0.0,1984,11,7
2228.0,0,0,118,35784,PC,0.0,1984,11,19
1845.0,0,0,118,35784,PC,0.0,1984,11,24
200.0,0,0,118,35784,PC,0.0,1984,11,26
1113.0,0,0,118,35784,PC,0.0,1984,12,4
2017.0,0,0,118,35784,PC,0.0,1984,12,4
42.0,0,0,118,35784,UNK,0.0,1984,12,5
2141.0,0,0,118,35784,PC,0.0,1984,12,6
1850.0,0,0,118,35784,PC,0.0,1984,12,7
113.0,0,0,118,35784,PC,0.0,1984,12,13
2222.0,0,0,118,35784,PC,0.0,1984,12,17
803.0,0,0,118,35784,PC,0.0,1984,12,19
2050.0,0,0,118,35784,PC,0.0,1984,12,19
2050.0,0,0,118,35784,UNK,0.0,1984,12,20
2257.0,0,0,118,35784,PC,0.0,1985,1,10
304.0,0,0,118,35784,PC,0.0,1985,1,13
1418.0,0,0,118,35784,PF,0.0,1985,1,21
1740.0,0,0,118,35784,PC,0.0,1985,1,23
1740.0,0,0,118,35784,PC,0.0,1985,1,23
151.0,0,0,118,35784,PC,0.0,1985,1,26
20.0,0,0,118,35784,PC,0.0,1985,1,29
1150.0,0,0,118,35784,PC,0.0,1985,1,31
2117.0,0,0,118,35784,PC,0.0,1985,2,1
2319.0,0,0,118,35784,PC,0.0,1985,2,7
906.0,0,0,118,35784,PF,0.0,1985,2,9
1320.0,0,0,118,35784,PC,0.0,1985,2,12
2355.0,0,0,118,35784,PC,0.0,1985,2,12
205.0,0,0,118,35784,PC,0.0,1985,2,13
405.0,0,0,118,35784,PC,0.0,1985,2,14
2236.0,0,0,118,35784,PC,0.0,1985,2,14
2041.0,0,0,118,35784,PC,0.0,1985,2,17
1227.0,0,0,118,35784,PF,0.0,1985,2,18
1249.0,0,0,118,35784,PC,0.0,1985,2,27
7.0,0,0,118,35784,PF,0.0,1985,2,28
1813.0,0,0,118,35784,PC,0.0,1985,2,28
2102.0,0,0,118,35784,PC,0.0,1985,3,2
1101.0,0,0,118,35784,PC,0.0,1985,3,6
539.0,0,0,118,35784,PC,0.0,1985,3,10
412.0,0,0,118,35784,PC,0.0,1985,4,3
51.0,0,0,118,35784,PC,0.0,1985,4,9
354.0,0,0,118,35784,PC,0.0,1985,4,28
925.0,0,0,118,35784,PF,0.0,1985,6,15
508.0,0,0,118,35784,PC,0.0,1985,7,7
23.0,0,0,118,35784,PC,0.0,1985,7,13
1055.0,0,0,118,35784,PC,0.0,1985,7,21
2031.0,0,0,118,35784,PF,0.0,1985,9,18
308.0,0,0,118,35784,PC,0.0,1985,9,26
2110.0,0,0,118,35784,PC,0.0,1985,9,26
1056.0,0,0,118,35784,PC,0.0,1985,9,27
2330.0,0,0,118,35784,PC,0.0,1985,9,27
828.0,0,0,118,35784,PF,0.0,1985,12,7
1936.0,0,0,118,35784,PF,0.0,1985,12,9
1322.0,0,0,118,35784,PF,0.0,1985,12,16
806.0,0,0,118,35784,PF,0.0,1985,12,20
628.0,0,0,118,35784,PF,0.0,1985,12,21
1405.0,0,0,118,35784,PC,0.0,1986,1,3
124.0,0,0,118,35784,PC,0.0,1986,1,21
355.0,0,0,118,35784,PC,0.0,1986,1,25
2224.0,0,0,118,35784,PC,0.0,1986,1,30
244.0,0,0,118,35784,PC,0.0,1986,2,4
2133.0,0,0,118,35784,PC,0.0,1986,2,7
2222.0,0,0,118,35784,PC,0.0,1986,2,9
2.0,0,0,118,35784,PC,0.0,1986,2,11
29.0,0,0,118,35784,PC,0.0,1986,2,11
1227.0,0,0,118,35784,PC,0.0,1986,2,12
335.0,0,0,118,35784,PC,0.0,1986,2,15
2021.0,0,0,118,35784,PC,0.0,1986,3,4
1858.0,0,0,118,35784,PC,0.0,1986,3,7
2326.0,0,0,118,35784,PC,0.0,1986,3,10
714.0,0,0,118,35784,PC,0.0,1986,3,15
706.0,0,0,118,35784,PC,0.0,1986,3,22
628.0,0,0,118,35784,PC,0.0,1986,3,26
635.0,0,0,118,35784,PC,0.0,1986,3,29
529.0,0,0,118,35784,PC,0.0,1986,8,23
636.0,0,0,118,35784,PC,0.0,1986,8,24
2342.0,0,0,118,35784,PC,0.0,1986,9,19
1942.0,0,0,118,35784,PC,0.0,1986,9,23
452.0,0,0,118,35784,PC,0.0,1987,1,10
1349.0,0,0,118,35784,PC,0.0,1987,2,23
1827.0,0,0,118,35784,PC,0.0,1987,3,9
1957.0,0,0,118,35784,UNK,0.0,1987,8,14
428.0,0,0,118,35784,PC,0.0,1987,9,2
53.0,0,0,118,35784,PC,0.0,1987,9,12
241.0,0,0,118,35784,PC,0.0,1987,9,14
804.0,0,0,118,35784,PC,0.0,1987,9,19
714.0,0,0,118,35784,PC,0.0,1987,9,29
