VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,1/19/1994,AFSATCOM,9/11/1990,2000,,0,1632,G,,0,,E,308,,35784,UNK,UNK,SFC(129) Decoder problem.,0,
5,1/19/1994,AFTAC/WE,4/15/1992,0838,,0,2138,G,,0,,E,195,,35784,UNK,UNK,SFC(116) Temperature sensor failure. / AP=QUIET-UNSETTLED; SOLAR=LOW; EP=BACKGR,0,
5,1/19/1994,AMPTE/CCE,10/27/1987,1408,,0,0120,E,N,5,,E,168,,54810,UNK,UNK,SFC(118) Power supply problem.,0,
5,12/11/1986,@PN0101,10/4/1978,1915,0,0,1219,G,N,0,0,W,104,0,35784,PC,ESD,ENCODER 2 MODE SWITCH,0,
5,12/11/1986,@PN0102,6/15/1974,0338,0,0,2042,G,N,0,0,W,104,0,35784,PC,ESD,ENCODER 2 MODE SWITCH - SENSOR TO PAM,0,
5,12/11/1986,@PN0102,7/28/1974,2138,0,0,1442,G,N,0,0,W,104,0,35784,PC,ESD,ENCODER 1 & 2 MODE SWITCH,0,
5,12/11/1986,@PN0103,7/24/1977,0157,0,0,1821,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,2/21/1983,0124,0,0,1748,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,4/13/1983,1838,0,0,1046,G,N,0,0,W,118,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,9/14/1983,1101,0,0,0325,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,4/13/1984,1013,0,0,0237,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,8/19/1984,0423,0,0,2047,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1 MODE SWITCH,0,
5,12/11/1986,@PN0103,9/1/1984,1243,0,0,0507,G,N,0,0,W,114,0,35784,PC,ESD,ENCODER 1MODE SWITCH,0,
5,3/10/1994,@PN0201,12/16/1978,9999,0,0,,,,0,0,,0,0,0,UNK,UNK,[RCA] Comm Subsystem (SYSTEM: Communications),0,
5,12/11/1986,@PN0201,9/7/1979,0737,0,0,0021,G,N,0,0,W,109,0,35784,PC,ESD,ESA-1 NES DE-INHIBIT,0,
5,6/17/1988,@PN0301,11/14/1985,1530,0,0,0810,G,N,0,0,W,110,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0301,2/2/1986,0059,0,0,1747,G,N,0,0,W,108,0,35784,PC,ESD,Spin Encoder 2 Mode Switch,0,
5,6/19/1988,@PN0301,10/23/1987,1829,0,0,1117,G,N,0,0,W,108,0,35784,PF,UNK,APM 1 Stalled (during manual stepping),0,
5,6/19/1988,@PN0301,11/5/1987,1501,0,0,0749,G,N,0,0,W,108,0,35784,PF,UNK,APM 1 Stalled (during manual stepping),0,
5,6/19/1988,@PN0301,12/21/1987,2000,0,0,1248,G,N,0,0,W,108,0,35784,PF,UNK,APM 1 Stalled (during manual stepping),0,
5,5/10/1989,@PN0301,9/21/1988,0000,0,0,1652,G,N,0,0,W,107,0,35784,UNK,UNK,Communications Receiver 1 Failed,0,
