VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,9/8/1993,TDRS-1,4/5/1983,0740,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 2 ROW: 2 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,4/6/1983,2009,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:13 ROW: 2 CHIP:40 BIT: 3 SET: 1,,
5,9/8/1993,TDRS-1,4/6/1983,2009,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:14 ROW: 3 CHIP:40 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,4/6/1983,2009,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:15 ROW: 1 CHIP:32 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,4/8/1983,0358,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 2 ROW: 0 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,4/8/1983,0358,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:12 ROW: 0 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,4/11/1983,0432,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 4 ROW: 3 CHIP:40 BIT: 0 SET: 0,,
5,9/8/1993,TDRS-1,4/15/1983,0110,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 9 ROW:10 CHIP:32 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,4/15/1983,1917,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:12 ROW: 5 CHIP:33 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,4/17/1983,1710,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 7 ROW: 0 CHIP:?? BIT:?? SET:??,,
5,9/8/1993,TDRS-1,4/21/1983,0030,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:13 ROW: 5 CHIP:32 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,4/21/1983,1720,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL:13 ROW: 0 CHIP:37 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,4/24/1983,1730,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 4 ROW: 4 CHIP:40 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,4/26/1983,1756,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 1 ROW: 0 CHIP:32 BIT: 1 SET: 1,,
5,9/8/1993,TDRS-1,4/29/1983,1740,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL: 4 ROW:13 CHIP:40 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,5/1/1983,0301,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:2 COL:15 ROW: 5 CHIP:32 BIT: 2 SET: 1,,
5,9/8/1993,TDRS-1,5/3/1983,0943,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:3 COL: 0 ROW: 6 CHIP:31 BIT: 0 SET: 1,,
5,9/8/1993,TDRS-1,5/2/1983,2342,,,,G,,0,,,0,,0,SE,SEU,ACS PAGE:1 COL: 9 ROW: 5 CHIP:37 BIT: 0 SET: 1,,
